,gender_F,gender_M,ssc_b_Central,ssc_b_Others,hsc_b_Central,hsc_b_Others,hsc_s_Arts,hsc_s_Commerce,hsc_s_Science,degree_t_Comm&Mgmt,degree_t_Others,degree_t_Sci&Tech,workex_No,workex_Yes,specialisation_Mkt&Fin,specialisation_Mkt&HR,ssc_p,hsc_p,degree_p,etest_p,mba_p
147,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.26072929586899,0.6941202141987816,-0.16676781914947333,0.7786466602676964,0.0007886930859524025
161,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.065759047101481,-1.4054306336457165,-1.1921264136055145,-1.1234709760682473,0.0744779433880736
169,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.6641278543687551,-2.212388437773776,-0.6780799715848862,-1.359642460280239,0.536710513465019
131,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7121038014631093,-0.857721716816717,-0.5769112569318898,0.553721437208657,-0.2504246602167348
27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3840914264083224,0.05512647789828216,-0.030053339888667846,-0.345979455027501,-0.7679241680202711
108,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5683259184875545,1.424398769970781,0.38009009789374865,0.8536217346207096,-0.6640893153218262
105,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.7525604105667866,-0.2187279805162176,-1.123769173975112,0.9285968089737227,-1.1681907776158862
200,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16861204982937397,-0.5838672584022173,-0.16676781914947333,1.119783248573906,-1.585204944098346
122,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06168106526966618,0.03686951400398192,0.4211044416719899,0.5837114669498626,1.461175653618907
202,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.26072929586899,-0.3100127999877175,-0.030053339888667846,-0.8498119546797493,-0.36263329135860206
36,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.489498378883715,-2.044424369946216,-1.2604836532359174,-0.6458797524395536,-1.8129717177594489
81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3385010745324981,-0.3100127999877175,0.10666113937213766,1.003571883326736,1.3271951985241413
110,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.214670672849182,0.3289809363127819,0.7902335356761652,-1.155710258040043,-1.251928562050115
142,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.642487986463231,-0.5838672584022173,0.9857352410191179,-0.9457800498516062,-0.1650121200938215
208,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.2264363472006434,-0.5838672584022173,-0.16676781914947333,1.5029058785178033,0.10797305716176571
177,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5370810339878382,2.7936710620432796,1.7472348905018036,1.2284971063857753,1.4293552955339006
191,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01562244224985815,-0.49258243893071735,0.7902335356761652,-0.046079157615448355,-0.21190527937698997
198,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.01562244224985815,0.3289809363127819,-0.16676781914947333,1.1535220320327622,1.621952199732626
189,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.213146640764867,1.022745564296181,0.40743299374591013,1.7270813508333134,0.7812248440129668
5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.1210293947252508,-1.5149724170115169,0.14083975918733901,-1.3206554216166722,-1.79119989380655
109,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.397381132844099,-0.3100127999877175,-0.16676781914947333,1.003571883326736,-1.035885078209803
37,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0897845102255346,0.8766898531417815,-0.08473913159299082,-1.0957301985576327,-1.139719930908248
146,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.47620867244793846,-0.3100127999877175,-0.030053339888667846,0.9285968089737227,-1.1949868686348388
120,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8446776566064027,-2.4095636478322158,-0.9870546947143064,0.0288959167375648,-0.5803515308875972
187,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0437258872057265,-0.08180075130896773,0.10666113937213766,1.6783475525038543,0.43287566076657413
86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.47620867244793846,-0.3100127999877175,-0.30348229841027885,-0.42095452938051414,-0.8784580434734528
38,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5370810339878382,-0.7664368973452171,-0.030053339888667846,-1.4181230182755888,-0.906928890181091
17,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1210293947252508,0.05512647789828216,-0.30348229841027885,-0.9457800498516062,0.8381665374282431
151,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.19985693432909027,-0.12744316104471767,1.2003769734585816,0.7786466602676964,-0.5703029967554905
171,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1819017562651506,1.2418291310277811,0.7902335356761652,-0.6616245180536865,0.6304968320313559
88,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.10773968828947421,-0.40129761945921744,0.9269480149369707,-1.0957301985576327,0.34913787633234505
93,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.397381132844099,-0.40129761945921744,-1.6706270910183338,-0.046079157615448355,-1.1497684650403557
199,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16861204982937397,-0.12744316104471767,-1.2604836532359174,0.0288959167375648,-1.084452993181657
192,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.1814334851211668,-0.45606851114211755,-0.19411071500163485,1.5583874335390338,-0.8265406171242304
118,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8134327721066864,1.2418291310277811,1.610520411240998,1.8282977012098807,1.3740883578073095
9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8446776566064027,0.3289809363127819,-0.7136257361926953,-1.3956304959696852,-1.6856902854194211
61,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5687941896315383,0.6393493225158822,0.09162254665344913,-0.8258199308867851,0.034283806859643315
78,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.550370740423615,2.236833663267131,-0.2351250587798761,1.006570886300857,-0.4781914338778378
95,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5370810339878382,1.0592594920847813,-0.16676781914947333,1.7128360867062398,-0.019308375178263337
165,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.3564562525964378,1.089383482510376,1.0636624941977761,0.553721437208657,2.0573886787906184
72,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6295915720176846,0.05512647789828216,1.610520411240998,1.715835089680361,1.0475109985138158
2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.19985693432909027,0.1464112973697821,-0.30348229841027885,0.1788460654435911,-0.7495018554447407
180,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.19985693432909027,0.46590816552003184,-0.4675396735232458,-1.1707052729106457,-0.9504725380868898
39,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.2740190023047666,0.1464112973697821,-0.30348229841027885,1.528397403797828,0.04768185236912087
209,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.47620867244793846,0.5115505752557817,-0.16676781914947333,-0.42095452938051414,-0.9688948506624201
139,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9055500181463024,0.3289809363127819,-0.9870546947143064,-1.0957301985576327,-1.3138945225314442
97,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3067879188887981,-0.3556552097234675,-0.7136257361926953,1.5966247214590696,1.1312487829480449
135,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.44496378794822217,-0.949006536288217,0.38009009789374865,-1.275670377004864,0.5618318487952862
174,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5591891730373456,-1.4209490529558717,-0.26656938900986193,-0.6458797524395536,0.6623171901163626
154,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.305263886804483,-0.3100127999877175,-0.8503402154535008,-0.19602930632147467,-1.5198894722396472
79,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.16861204982937397,-0.40129761945921744,-0.030053339888667846,0.1788460654435911,0.9570741913248474
129,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8779148443344179,2.1272918799013305,-0.030053339888667846,1.3034721807387886,1.0508605098911843
106,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.5609565388043853,-1.4967154531172164,-1.6706270910183338,-0.12105423196846152,0.5718803829273941
163,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.3840914264083224,0.05512647789828216,-0.30348229841027885,0.1788460654435911,0.7008365709561062
94,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8446776566064027,-0.40129761945921744,-0.30348229841027885,-1.4046275048920467,-1.223457715342477
4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.7161817832949235,0.6576062864101812,0.967962358715212,1.8133026863392778,-1.134695663842194
40,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9976672641859184,0.9679746726132814,1.883949369762609,-0.9457800498516062,0.7443802188619062
7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.3661362483443826,-0.2187279805162176,-0.030053339888667846,-0.42095452938051414,-0.02265788655563183
159,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.397381132844099,-1.5880002725887163,-1.123769173975112,-0.7958299011455799,-0.2822450183017415
25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.3439531301411218,-1.0768052835483168,-2.1901421122093945,0.25382113979660426,0.5115891781347492
123,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6291982800274543,-0.6751520778737172,0.9269480149369707,-0.9457800498516062,-0.9337249812000438
126,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0897845102255346,-0.49258243893071735,1.2687342130889845,-0.19602930632147467,0.9922440607872249
33,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.826722478542463,-0.12744316104471767,2.0206638490234146,1.1535220320327622,1.7592821662047629
153,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.6737328709629473,-0.6751520778737172,-0.16676781914947333,1.003571883326736,0.034283806859643315
53,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.1819017562651506,0.3289809363127819,0.7902335356761652,1.078546957679749,1.4678746763736465
184,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0031193197945423,-0.32553121929787265,-0.8790502560982701,-0.9457800498516062,-0.834914395567654
30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.2919741803687063,0.6484778044630316,0.9269480149369707,-1.5455806446757114,-0.9337249812000438
155,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.436991548641134,0.7543681950499712,-0.8640116633795816,-1.234434086110707,0.6221230535879311
164,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0008836828835198954,0.5571929849915317,-0.39234670992980225,-1.4676065673485779,0.543409536219756
144,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.397381132844099,-1.4967154531172164,-0.7136257361926953,-0.9457800498516062,-0.6289194458594499
130,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.47620867244793846,-0.12744316104471767,-0.8503402154535008,0.8536217346207096,0.3139680068699699
203,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.058389667418312,-0.4624584485051226,-1.2782565355398223,-0.4959296037335273,-0.6657640710105117
201,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.1947231915569434,-0.3100127999877175,-1.123769173975112,0.47874636285564376,-0.6423174913689275
28,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8834418790967951,0.9223322628775315,0.17501837900254041,0.05513719276111898,0.3139680068699699
182,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.397381132844099,-0.12744316104471767,-1.2604836532359174,0.1788460654435911,-0.412875962019139
67,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2666496226215975,1.1049019018205313,0.10666113937213766,-0.2927471522368621,-0.21525479075435847
98,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16861204982937397,0.6028353947272816,-0.16676781914947333,-0.19602930632147467,-0.8315648841902844
29,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.47620867244793846,0.05512647789828216,-1.123769173975112,0.32879621414961746,-1.8397678087784028
149,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.1343191011610276,-0.7664368973452171,-1.5339126117575284,-0.6271359838513003,-0.6255699344820814
210,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2371721038889196,1.424398769970781,1.5558346195366752,1.3784472550918017,2.0456653889698253
62,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.780663855522655,-0.20047101662191735,0.16134693107646064,-1.0207551242046193,-0.43297303028335477
96,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8134327721066864,0.3289809363127819,1.3370914527193871,-0.4959296037335273,0.36253592184182143
205,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5683259184875545,-0.40129761945921744,-0.16676781914947333,-0.7958299011455799,-0.9153026686245135
179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9792438149779951,-0.2187279805162176,-0.27613940255811736,0.2163336026200977,1.6520978021289496
119,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.586749367695478,0.18292522515838258,-0.22145361085379633,0.7531551349876716,0.34578836495497656
